Username,Review Number,Title,Text,Date,Rating,Rating,Rating,Rating,Rating
Brenna L,1 review,girlies be careful please,"went here on our first few nights in rome and had a blast. came back a week later, and within 20 minutes i had a older man pass me and my friends 3 beers, one with something CLEARLY fizzing in the bottom. it was a...More",Date of visit: August 2022,,,,,1
jamescS3136NV,96 reviews,Found an Irish pub with added Bob,Myself and my partner dropped in here around lunch time & found the place rather aminable. So we came back in the evening for a drink on the way home.,Date of visit: March 2022,,4,,,
DavidM12899,51 reviews,A twist in the roman cousine,Whil chhuchhoping we ran into this Irish pub. The atmosphere was great as was the food and serviece.,Date of visit: July 2022,5,,,,
lydieefox,13 reviews,Met the best people in rome here,"Fantastic atmosphere, everyone is happy to chat and meet each other and get talking. I met SO MANY fantastic, interesting people on their travels here. 
Although drinks aren’t cheap compared to the U.K., but what you’d expect in Rome. 
They also serve English cider which...More",Date of visit: July 2022,5,,,,
mcgrail_colleen,6 reviews,Best Irish Bar,"Fantastic  bar , staff are so good and food is delicious  great craic.   Been to Rome 5 times and always go to Scholars Lounge  , 5*",Date of visit: July 2022,5,,,,
Petronius_arbiter,169 reviews,Went For The Irony,"Have driven past this place so many times, we finally got to stop in. With Irish girl in tow, she had chuckled at the irony of an Irish pub called a scholar's lounge given the large-ish stereotypes prevalent of the Irish.
Once inside, yes it...More",Date of visit: July 2022,,,3,,
Suzanne F,126 reviews,Fly problem,"Came in a few times on our recent visit, and it didnt seem as clean as on our last few visits.  Lots of things flying about, got bit a few times. Staff very nice and Pina Colada very good.",Date of visit: July 2022,,,3,,
hamdoon88,2 reviews,strange,"A year ago it was better than that.. It lacks cleanliness and better service. You can't sit at the bar because there is not one place to deliver drinks (disorganized) I wish them the best, but it is necessary to review how to serve drinks...More",Date of visit: July 2022,,,3,,
isao437,1 review,The waiter is disrespectful,"A worker of the pub passed out in the bathroom, I told the waiter and he pushed me and told me to shut up. At the moment I didn’t know if the girl was alive or not, and the waiter did not help AT ALL....More",Date of visit: July 2022,,,,,1
dianabD7799SU,43 reviews,"Atmosphere, friendly.. a great Irish pub","Really friendly staff, fantastic atmosphere and the food was tasty. The Irish coffee was really good. We chose an excellent day to visit.. viewing the Wimbledon final, the Grand Prix and Gaelic football simultaneously. Needless to say, the atmosphere was just electric!",Date of visit: July 2022,5,,,,
kaylaeo,3 reviews,"Love an Irish pub, just not this one","Great drink selection, decor, and music. The only problem is that the women’s restroom is located across the dance floor/stage from the men’s. When we were there, the dance floor was completely impassable. Despite multiple attempts, we could not make our way through the post-COVID...More",Date of visit: June 2022,,,,2,
charlie3598,139 reviews,Best Frozen Daiquiri in Rome,"Perfect hidden gem, Great atmosphere, friendly helpful staff and a great cocktail menu, the best Frozen Strawberry Daiquiri in Rome.",Date of visit: May 2022,5,,,,
Desislava R,1 review,Great experience,Perfect service. We watched Formula 1. The atmosphere was great and very exciting. Prices are not very high so I recommend it.,Date of visit: June 2022,5,,,,
Rossella B,5 reviews,Terrible service,Food is good but the service is terrible!! We ordered two wraps and one arrived the other!! Incredible. Moreover waiter are not so nice,Date of visit: June 2022,,,,,1
Jakem0325,1 review,Review,"Great Place, went for drinks today before heading back to the hotel.
The 2 waiters were super friendly and great.
( 🇲🇹 )",Date of visit: May 2022,5,,,,
LittleDan500,220 reviews,Busy and lively,"I watched the Roma European final here and it was excellent but incredibly busy. It seemed to be a very lively place which attracts younger folk of a night. Seemed like a proper UK pub and it had other football matches on, I recommend this...More",Date of visit: May 2022,5,,,,
jodyr859,2 reviews,Fabulous,Hubby and I came in because of the advertisement for an “authentic Irish pub”. It is owned and run by an Irish staff. The food and beverages are excellent. The servers are friendly. Karaoke night is very popular and a lot of fun. Of course...More,Date of visit: May 2022,5,,,,
Adam D,2 reviews,Young couple visit,"As an Irish couple heading into an Irish pub can definitely say it has no where near the feel of an Irish pub. We were excited to try it out but quickly found out it’s not the type of place for couples to visit, even...More",Date of visit: May 2022,,,,2,
bnvzmom,2 reviews,Great Irish Pub in Roma!,"After walking (confirmed via FitBit) over 22000 steps it was time for a beer, so why not stop at an Irish Pub?!  We were greeted by an awesome Mark who happy chatted with us and quenched our thirst.  Nachos were the bomb!  Also had a...More",Date of visit: March 2022,5,,,,
Lasse P,17 reviews,Not worth your time,"Went here twice, the second time for pub lunch, we ordered 2 x fish and chips, but after waiting for over 30 minutes we asked about our food and the barman said it was only 10-15 minutes ago we ordered ??, we checked our receipt...More",Date of visit: May 2022,,,,2,
Ivan V,2 reviews,Nothing special,Decent atmosphere. Decent service. Music is too quiet and it’s pretty hot. Other than that the place is just nothing special.,Date of visit: May 2022,,,3,,
462pelle_,47 reviews,Stay away froom their food,"A nice pub with awful food. I got the worst burger ever. The burgermeat was probadly bought in a discount supermarked, the bun was cold and hat not been toasted, the cheese  was not meelted and the burger was tasteless. I mentioned it to the...More",Date of visit: April 2022,,,,,1
RonPerin,27 reviews,"Nice location, expensive beer","Nice location and atmosphere as typical for a good Irish Pub.
I am always wondering how we managed it to deal with such prices for beers and drinks. I am aware that those prices are quite „normal“ for Rome. However, I can’t get used to...More",Date of visit: April 2022,,,,2,
98emmettb,1 review,Never again,Went in for dinner a few drinks after a tour. Went up to the bar to order drinks a d ask for a menu. When the barmaid came over I asked for menu's and a malibu and coke zero and a pint of Smithwicks with...More,Date of visit: April 2022,,,,,1
bosqueverde79,21 reviews,Phenomenal place - Bartender Leo excels!,Excelente place . Super fun place to have an easy drink or party up on karaoke or watch a sports game. Bartender Leo excels in customer service and owns your experience. We visited Rome and the bar 2 nights on a row and on night...More,Date of visit: April 2022,5,,,,
I7759ZTdavidh,45 reviews,Drinks after long morning in Rome,Had a wonderful afternoon having a few guinesses and a nice meal. Relaxed after a long morning visiting the Vatican City. We were served by the very attentive and polite Mark. It was a pleasure to be served by Mark and welcoming to come across...More,Date of visit: April 2022,5,,,,
eamonn4711,31 reviews,Good spot,Busy fun spot. Good fun had but only drawback was that it was definitely overcrowded on Saturday night. It wouldn't stop me coming back though,Date of visit: April 2022,,4,,,
kobbyb437,1 review,Racist bouncer at the entrance,"The bouncer in the attached photograph is disgustingly racist it's very pathetic that this can be happening in 2022. As someone who supported this pub during covid, it's really sad that they have a bouncer who destroys the image of a pub due to his...More",Date of visit: April 2022,,,,,1
jennifer9418,40 reviews,Nice Irish Bar,"Visited this early on a Sunday morning, wasn’t hectic busy but Ive no doubt it gets very busy. Nice Irish pub, friendly staff. Breakfast was good, toilets were awful, like something from a prison.",Date of visit: March 2022,,4,,,
woodydog666,189 reviews,really buzzy and great atmosphere,"Stumbled in on a Friday night, and it was almost full. Lots of entertainment to be had just sitting and watching",Date of visit: March 2022,5,,,,
Jeff K,98 reviews,Always best Irish in Rome!,Scholars is best!  See Dublin barman Mark for some good craic. Great hospitality by Christopher and all staff. Drink and food is terrific.,Date of visit: March 2022,5,,,,
david w,1 review,Barmen out of their depth and ignorant,"I’ve created an account just to leave this review.
Myself and my girlfriend went for a drink and after seeing reviews expected a good time. As an Irish couple in an Irish bar we expected to at least get served. 
My girlfriend was at the...More",Date of visit: February 2022,,,,,1
eduardocQ6419ZT,3 reviews,I can see why it got Irish Pub of the Year,"Been here both times I’ve visited Rome and both times have been memorable. Food is great, drinks are fantastic, and the vibes here are amazing. Everybody seems down to earth and easy to spark up conversation with. I love this place.",Date of visit: February 2022,5,,,,
Allan L,14 reviews,A piece of Ireland in the heart of Rome,"The best irish pub outside Ireland.
Good food, good drinks and excellent staff.
We always come here when in Rome and we will definatelky come here again!",Date of visit: February 2022,5,,,,
sara s,10 reviews,We'll be back!!!!!!!,What a weekend. SCHOLAR'S is brilliant. Great atmosphere & staff. Very accommodating. We were there for both Rugby matches on Saturday 12th Feb. It was so busy but staff stayed so plesent,Date of visit: February 2022,5,,,,
Slmatyork,3 reviews,Brill place,"Came to Rome for Valentines but also the 6 Nations England v Italy. Great pub, fantastic atmosphere and music. We ate here on our last day and the food was absolutely gorgeous, I had beef in Guinness and my fiancé Bavarian pork and we both...More",Date of visit: February 2022,5,,,,
Pardy99,29 reviews,"Best Irish Bar in Rome, but offers so much more!","Simply the best Irish bar in Rome but it offers much more than that.
You’re guaranteed you proper Irish welcome by the manager Mark, who always has time to have a chat and see that you have everything you need. We also got some great...More",Date of visit: February 2022,5,,,,
Trail33483486551,1 review,"Superb place for food, drink and the true Irish hospitality making it home away from home !",It’s been an amazing place to meet up with friends new and old !! Fabulous atmosphere and a massively warm welcome from Mark who has made sure that we have been welcomed each and every visit ! Not only is he a top fella but...More,Date of visit: February 2022,5,,,,
Martmart54,1 review,Looked inviting,Clean spacious great staff.food very good . Guinness on the money . Got a good bit of knowledge from mark our barman while we were there.,Date of visit: January 2022,5,,,,
Irishlassx,17 reviews,Tasty Irish breakfast,We were so happy we found this bar. The breakfast was 5*. We even got some Irish tea!! It was so nice we came back again. Staff are friendly and efficient and the bar layout is really Irish like - this place made us feel...More,Date of visit: January 2022,5,,,,
250dorak,6 reviews,Good choice if you want a break from italian food,"We were suggested the place beforehand. We tried the beef with mushed potatoes and gravy and the hamburger. Both tasty but not something exciting. The waitress was very polite and helping and the interior very cozy due to the deem lights, the fireplace and the...More",Date of visit: December 2021,,4,,,
darrenc259,46 reviews,Best part of Rome,"By far the best bar in Rome, plays almost the football and other sports staff are easy to talk to and very nice and chatty, then there is mick, found he lives only down the road from me in smithfield, what a gent he was,...More",Date of visit: December 2021,5,,,,
Adverse_View,22 reviews,"Appalling service, bad food","Ate here as it was lashing down with rain and it was in a convenient location for a pre-booked event later in the evening.
We got a warm welcome from an Irish waiter, but it went downhill from this point.  After 20-30 minutes waiting, a...More",Date of visit: November 2021,,,,,1
Eire96,18 reviews,"By Far, The Best Pub in Rome!","Firstly, Micheal (Door Security) was so nice! He assisted us greatly and was friendly for two nights we were there! A really nice guy!
Bar Staff, Crew, Everything was great! Will definitely return to Scholars very very soon!!!",Date of visit: November 2021,5,,,,
amybY6077OU,2 reviews,Warm Cozy Pub with Wonderful People,"What a gem this was. Today it was pouring rain in Rome and we decided to sneak into the pub for a drink. Once inside, it was magical. The decorations of the pub are warm, cozy and inviting. It was decorated with Christmas decor from...More",Date of visit: November 2021,5,,,,
Mickjn77,20 reviews,Great value for food,I have visited this Irish pub for years.It is truly a fantastic pub to visit in the heart of glorious Roma. Food and service excellence. Burger + Chips salad and bottle of Beer only 14euro and it was lovely. Lovely atmosphere and settings and children...More,Date of visit: November 2021,5,,,,
dansbfg,119 reviews,The Pub of Pubs in Roma,I’ve owned an Irish Pub and I frequent Irish pubs whenever I travel. This is among the best. Furthermore I’m a Cleveland Browns fan. Where did I find the Browns game…scholars pub in Rome. But a pub is the people and Mark took a good...More,Date of visit: November 2021,5,,,,
Compass12056624008,8 reviews,Hidden gem,"Stepped in out of the rain and glad we did. Don't usually go to Irish pubs abroad but this was a great little place. Big shout out to Mark, possibly the friendliest, most helpful bar man around.",Date of visit: November 2021,5,,,,
912oliviah,2 reviews,Disappointed,"My friends and I became regulars here because we loved karaoke night and the discounted student drinks. I’ve had issues with this place before, but I’ll never be back after my most recent experience. The staff is SO unfriendly, borderline nasty. The bouncers are extremely...More",Date of visit: September 2021,,,,,1
Sugar E,2 reviews,Eccellente,"If you could a beatifull and friendly Place, you Need a Cup of beer hear. Leo and Is team help to you for an super night. PS: what'a a beatifull Barman #blueeyes",Date of visit: September 2021,5,,,,
janeehickeyy,27 reviews,Best few evenings ever,Came here 3 years ago with my family when I was 15 and wasn’t very impressed. On a trip with my friend this year I said we’d pop in  and it is safe to say I had the time of my life. It could be...More,Date of visit: September 2021,5,,,,
kvolhein,13 reviews,True Irish Pub,"The only reason it wasn’t a 5 is because of the Covid restrictions not allowing us to get the full experience of what this pub offers. We did, however, get 5 star service from Mark. A true Irishman - he was so friendly and helpful,...More",Date of visit: May 2021,,4,,,
mvmannisto,13 reviews,Great Irish Pub,"""The best Irish Pub in Rome"" is, at least to my experience, a well deserved title for this friendly and happy pub.
Been here many times over the last year in Rome and nearly always it has been a blast.
Wether it be for just...More",Date of visit: August 2021,5,,,,
gregkhoggatt,21 reviews,One of our Favorite Irish Pubs. Thanks to Mark!,"Not my first time, nor my last. What a GREAT find. Great atmosphere. Wonderful staff. One of our favorite bartenders/wait staff people of ALL time, Mark was instrumental in making our 3 visits here fun and memorable. He works his butt off keeping his customers...More",Date of visit: September 2021,5,,,,
herman1234567890,1 review,Unfriendly staff and bad beer,"I got a bad beer with cigarettes inside, and the bouncers were unfriendly and aggressive, and threatened with violence. Dangerous place in Rome, never go here.",Date of visit: September 2021,,,,,1
Marie L,1 review,100% recommend coming here,"Amazing food, the friendliest staff, delicious drinks and brilliant karaoke. Can't wait to return to Italy just for your nachos alone 😋",Date of visit: August 2021,5,,,,
76fiona,1 review,10th August 2021,"We passed by Scholar's on the tour bus, so we got off at the next stop and walked back. We were so glad we did. It is an amazing place and Mark was the bartender that made it so fantastic.  We only intended on staying...More",Date of visit: August 2021,5,,,,
RastusJohn,14 reviews,Perfect spot for the rugby,"Sometimes a holiday can get in the way…for example what happens if it’s the Lions 2nd test and you’ve just spent a hot and humid few hours at the Coliseum, then the Scholars Bar is most definitely a fantastic option. Service is super friendly and...More",Date of visit: August 2021,5,,,,
EoinBClarke,5 reviews,Best bar in Roma.,"This is a lovely bar for couples to visit. The bar staff are the best in Italy. Lisa, Shona & Danny are first class.
A couple of occasions recently, Danny has made us feel particularly welcome. He and the other staff are exceptionally well mannered...More",Date of visit: August 2021,5,,,,
Bosco198,91 reviews,"Great atmosphere, feels like home.","My wife an I visited here for a good irish breakfast(hard got in rome unfortunately) 
We were not disappointed thankfully as the food selection was amazing, a real touch of Ireland across the menu especially with the full irish breakfast. What a treat. 
Breakfast comes...More",Date of visit: August 2021,5,,,,
blueberryjul,1 review,Soo Amazing!!!,Amazing!!!!! Great feeling!! Superb waiters!! The food and the Drinks are perfect!!!! Just amazing!! Definitely recommended!!!!,Date of visit: June 2021,5,,,,
justincQ4846KI,1 review,Fab,"If you come here first on your travels you’ll keep coming back. Great service and staff, can’t do enough for you. Top place and a must visit!!",Date of visit: July 2021,5,,,,
Wolftheman,1 review,The great Scholar lounge of Rome.,"It was hot in Rome, we needed a cool pub to have a beer and hang out for a while.  Ended up staying for 3 hrs.  Mark, your the best bartender I have seen in a long time.  Ginger and I had a great time....More",Date of visit: June 2021,5,,,,
Y6014BDdo,1 review,"Best Irish pub, best food, best staff!","Me and my wife had an incredible time inScholar’s, helped by the incredible hospitality of the young Scotch barman Danny, and his colleagues. The food is to die for- particularly the nachos. All in all, one of the best things to experience in Rome for...More",Date of visit: June 2021,5,,,,
429killiant,1 review,Best pub in Rome,"Best place ever, feels like home. Great food and drinks, and Mark makes it ever better. Seriously great pub overall.",Date of visit: May 2021,5,,,,
ViaggiatoreAW,2 reviews,Andrea e Anna met the best waiter ♥️,"Grazie mille a Marc!! We didn’t went out for the last three month and he made this normal Thursday to a special one! 
Grazie!!",Date of visit: May 2021,5,,,,
andreacD4372PI,3 reviews,Best waiter,We had a great evening and had a fantastic service and a nice talk with Mark ! Suggest this place!!!,Date of visit: May 2021,5,,,,
Matthew B,1 review,Scholar’s Lounge: A Roman Must-go-to,"Scholars lounge is a modern Roman monument for those who just want to saddle up to the bar and have a good glass of the finest. In particular, Mark McMannus pours the best pint this side of the Tiber! Cheers!",Date of visit: April 2021,5,,,,
R1268SSdougw,2 reviews,A little bit of Ireland in the Middle of Rome!,"Great atmosphere, traditional Irish food and a pint or two of the black stuff and your evening will be set!  What really makes the evening great is talking some blarney with Mark who is great host and makes you feel at home and like he's...More",Date of visit: May 2021,5,,,,
Ernesto0007,5 reviews,The best place thanks to Mark,"Best pub in the world, execellent service and food! I hope to see again Mark: thank you for your job, you are the best! Love this place",Date of visit: April 2021,5,,,,
Serena G,8 reviews,I love Mark ❤️,"Amazing place, Scholars Lounge is the best Irish pub in Italy! Just go there. And ask for Mark, he is the best!",Date of visit: May 2021,5,,,,
